dN,6dN,count,share_%
1,6,3869,1.0146
2,12,10333,2.7097
3,18,7563,1.9833
4,24,4677,1.2265
5,30,14524,3.8088
6,36,4194,1.0998
7,42,13188,3.4584
8,48,7129,1.8695
9,54,4626,1.2131
10,60,10455,2.7417
11,66,4747,1.2449
12,72,8521,2.2345
13,78,8007,2.0998
14,84,5284,1.3857
15,90,10280,2.6958
16,96,3972,1.0416
17,102,6698,1.7565
18,108,6559,1.7200
19,114,3825,1.0031
20,120,7881,2.0667
21,126,4403,1.1546
22,132,6881,1.8045
23,138,7856,2.0602
24,144,2186,0.5733
25,150,7594,1.9914
26,156,4230,1.1093
27,162,4448,1.1664
28,168,7547,1.9791
29,174,2493,0.6538
30,180,8866,2.3250
31,186,2219,0.5819
32,192,4176,1.0951
33,198,6135,1.6088
34,204,2147,0.5630
35,210,9790,2.5673
36,216,1706,0.4474
37,222,5310,1.3925
38,228,3729,0.9779
39,234,2058,0.5397
40,240,7427,1.9477
41,246,1612,0.4227
42,252,4656,1.2210
43,258,3098,0.8124
44,264,2425,0.6359
45,270,4168,1.0930
46,276,1457,0.3821
47,282,3462,0.9079
48,288,3205,0.8405
49,294,1993,0.5226
50,300,3378,0.8858
51,306,2163,0.5672
52,312,2534,0.6645
53,318,2365,0.6202
54,324,1403,0.3679
55,330,4151,1.0886
56,336,1817,0.4765
57,342,2336,0.6126
58,348,2811,0.7372
59,354,1020,0.2675
60,360,2825,0.7408
